"Bairro","preco","Data","Dormitorios"
"CENTRO","6111 ",2018-04-01,"3"
"CHÁCARA KLABIN","9734 ",2018-04-01,"3"
"CONSOLAÇÃO","8578 ",2018-04-01,"3"
"FREGUESIA DO Ó","6311 ",2018-04-01,"3"
"HIGIENÓPOLIS","9373 ",2018-04-01,"3"
"INTERLAGOS","6016 ",2018-04-01,"3"
"IPIRANGA","7893 ",2018-04-01,"3"
"ITAIM BIBI","10938 ",2018-04-01,"3"
"ITAIM PAULISTA","3763 ",2018-04-01,"3"
"ITAQUERA","4439 ",2018-04-01,"3"
"JABAQUARA","6575 ",2018-04-01,"3"
"JAGUARÉ","6281 ",2018-04-01,"3"
"JARDIM AMÉRICA","11363 ",2018-04-01,"3"
"JARDIM MARAJOARA","6440 ",2018-04-01,"3"
"JARDIM PAULISTA","10168 ",2018-04-01,"3"
"JARDIM SAÚDE","7154 ",2018-04-01,"3"
"JARDINS","10367 ",2018-04-01,"3"
"LAPA","8982 ",2018-04-01,"3"
"LIMÃO","6336 ",2018-04-01,"3"
"MOEMA","10361 ",2018-04-01,"3"
"MOOCA","7282 ",2018-04-01,"3"
"MORUMBI","5780 ",2018-04-01,"3"
"PANAMBY","7131 ",2018-04-01,"3"
"PARAÍSO","8959 ",2018-04-01,"3"
"PENHA","5764 ",2018-04-01,"3"
"PERDIZES","9098 ",2018-04-01,"3"
"PINHEIROS","10066 ",2018-04-01,"3"
"PIRITUBA","6085 ",2018-04-01,"3"
"POMPÉIA","9619 ",2018-04-01,"3"
"REAL PARQUE","6652 ",2018-04-01,"3"
"SACOMÃ","5706 ",2018-04-01,"3"
"SANTA CECÍLIA","7976 ",2018-04-01,"3"
"SANTANA","6934 ",2018-04-01,"3"
"SÃO MATEUS","4499 ",2018-04-01,"3"
"SÃO MIGUEL PAULISTA","4354 ",2018-04-01,"3"
"SAPOPEMBA","4705 ",2018-04-01,"3"
"SAÚDE","7918 ",2018-04-01,"3"
"TATUAPÉ","6923 ",2018-04-01,"3"
"TUCURUVI","6258 ",2018-04-01,"3"
"VILA ANDRADE","5843 ",2018-04-01,"3"
"VILA CARRÃO","6628 ",2018-04-01,"3"
"VILA CLEMENTINO","9631 ",2018-04-01,"3"
"VILA FORMOSA","6278 ",2018-04-01,"3"
"VILA LEOPOLDINA","9743 ",2018-04-01,"3"
"VILA MARIA","6863 ",2018-04-01,"3"
"VILA MARIANA","9486 ",2018-04-01,"3"
"VILA MASCOTE","7986 ",2018-04-01,"3"
"VILA NOVA CONCEIÇÃO","16050 ",2018-04-01,"3"
"VILA OLÍMPIA","10618 ",2018-04-01,"3"
"VILA PRUDENTE","6423 ",2018-04-01,"3"
"VILA ROMANA","10040 ",2018-04-01,"3"
"VILA SÔNIA","6184 ",2018-04-01,"3"
"ACLIMAÇÃO","8623 ",2019-04-01,"3"
"ALTO DA BOA VISTA","8203 ",2019-04-01,"3"
"BARRA FUNDA","8749 ",2019-04-01,"3"
"BELA VISTA","7795 ",2019-04-01,"3"
"BELÉM","6637 ",2019-04-01,"3"
"BRÁS","6637 ",2019-04-01,"3"
"BROOKLIN PAULISTA","9786 ",2019-04-01,"3"
"BUTANTÃ","6033 ",2019-04-01,"3"
"CAMPO BELO","8903 ",2019-04-01,"3"
"CAMPO GRANDE","6200 ",2019-04-01,"3"
"CAMPO LIMPO","4568 ",2019-04-01,"3"
"CANGAÍBA","4790 ",2019-04-01,"3"
"CASA VERDE","6694 ",2019-04-01,"3"
"CENTRO","6100 ",2019-04-01,"3"
"CHÁCARA KLABIN","9590 ",2019-04-01,"3"
"CONSOLAÇÃO","8363 ",2019-04-01,"3"
"FREGUESIA DO Ó","6381 ",2019-04-01,"3"
"HIGIENÓPOLIS","9361 ",2019-04-01,"3"
"INTERLAGOS","6020 ",2019-04-01,"3"
"IPIRANGA","8059 ",2019-04-01,"3"
"ITAIM BIBI","10846 ",2019-04-01,"3"
"ITAIM PAULISTA","4023 ",2019-04-01,"3"
"ITAQUERA","4481 ",2019-04-01,"3"
"JABAQUARA","6610 ",2019-04-01,"3"
"JAGUARÉ","6373 ",2019-04-01,"3"
"JARDIM AMÉRICA","11296 ",2019-04-01,"3"
